z,symbol,name,state_298k,density_g_cm3,melting_k,boiling_k,ionization_energy_ev,electron_affinity_ev,electronegativity,atomic_radius_pm,source
106,Sg,Seaborgium,Solid,,,,,,,,PubChem periodic table JSON
107,Bh,Bohrium,Solid,,,,,,,,PubChem periodic table JSON
108,Hs,Hassium,Solid,,,,,,,,PubChem periodic table JSON
109,Mt,Meitnerium,Solid,,,,,,,,PubChem periodic table JSON
110,Ds,Darmstadtium,Solid,,,,,,,,PubChem periodic table JSON
111,Rg,Roentgenium,Solid,,,,,,,,PubChem periodic table JSON
112,Cn,Copernicium,Solid,,,,,,,,PubChem periodic table JSON
113,Nh,Nihonium,Solid,,,,,,,,PubChem periodic table JSON
114,Fl,Flerovium,Solid,,,,,,,,PubChem periodic table JSON
115,Mc,Moscovium,Solid,,,,,,,,PubChem periodic table JSON
116,Lv,Livermorium,Solid,,,,,,,,PubChem periodic table JSON
117,Ts,Tennessine,Solid,,,,,,,,PubChem periodic table JSON
118,Og,Oganesson,Gas,,,,,,,,PubChem periodic table JSON
