galaxy,radius_kpc,v_obs_kms,e_vobs_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_baryon_kms
CamB,0.16,1.99,1.5,1.86,3.75,0.0,4.185940754478018
CamB,0.41,4.84,1.5,4.24,9.47,0.0,10.375861410022784
CamB,0.57,6.79,1.5,5.61,11.76,0.0,13.029570215475259
CamB,0.73,8.87,1.5,6.77,13.72,0.0,15.299388876683931
CamB,0.9,10.9,1.5,7.77,14.8,0.0,16.715648357153245
CamB,1.06,12.9,1.5,8.44,15.24,0.0,17.420998823259247
CamB,1.22,14.7,1.5,8.64,15.11,0.0,17.405795012006777
CamB,1.47,16.8,1.5,8.08,15.9,0.0,17.835257217096704
CamB,1.79,20.1,1.5,6.91,14.91,0.0,16.433386747715762
D512-2,0.96,22.9,2.71,4.08,14.85,0.0,15.400288958328021
D512-2,1.92,33.5,2.71,6.24,21.2,0.0,22.099266956168478
D512-2,2.88,37.2,4.19,7.45,20.56,0.0,21.86815264259878
D512-2,3.83,35.9,5.98,8.09,20.08,0.0,21.64842950423887
D564-8,0.51,8.54,1.53,3.47,6.36,0.0,7.245032781154272
D564-8,1.02,15.1,1.41,5.33,8.66,0.0,10.168800322555262
D564-8,1.53,19.8,1.8,6.34,9.09,0.0,11.082585438425458
D564-8,2.04,21.9,1.82,6.86,8.75,0.0,11.118547567016117
D564-8,2.56,24.0,1.89,7.05,8.17,0.0,10.791264986089443
D564-8,3.07,25.0,2.05,7.04,7.65,0.0,10.39635032114636
D631-7,0.45,8.41,1.58,8.4,9.99,0.0,13.052206709978202
D631-7,0.9,17.8,2.22,13.51,15.52,0.0,20.57645499108143
D631-7,1.35,26.0,2.35,16.7,20.76,0.0,26.643340631384795
D631-7,1.8,30.9,2.22,18.72,21.37,0.0,28.40977472631559
D631-7,2.25,34.7,1.82,19.9,19.92,0.0,28.156995578363823
D631-7,2.69,38.8,1.81,20.61,18.76,0.0,27.869512015821158
D631-7,3.14,42.5,1.57,20.73,17.36,0.0,27.03890715247197
D631-7,3.59,45.6,1.59,20.61,16.32,0.0,26.289056658617476
D631-7,4.04,48.8,1.83,20.38,15.37,0.0,25.52609057415569
D631-7,4.49,51.8,1.91,19.9,14.49,0.0,24.616459940454476
D631-7,4.94,54.8,2.19,19.43,13.72,0.0,23.785779364990336
D631-7,5.39,56.6,2.73,18.84,13.04,0.0,22.912599154177162
D631-7,5.84,58.4,3.27,18.25,12.45,0.0,22.092193191261025
D631-7,6.29,58.5,3.95,17.65,11.93,0.0,21.303694515271285
D631-7,6.74,57.7,4.07,17.06,11.48,0.0,20.562927807099843
D631-7,7.19,57.3,3.94,16.47,11.08,0.0,19.850120906432785
DDO064,0.1,6.29,4.62,-1.13,1.96,0.0,2.262410219213129
DDO064,0.3,13.9,4.62,-2.45,6.31,0.0,6.768943787622999
DDO064,0.49,15.6,4.62,-0.64,9.67,0.0,9.691155761827378
DDO064,0.69,18.4,4.62,2.49,13.92,0.0,14.140951170271396
DDO064,0.89,22.5,4.62,1.87,15.16,0.0,15.274897708331798
DDO064,1.09,26.5,4.62,4.97,16.41,0.0,17.146107429967888
DDO064,1.29,35.3,4.62,9.29,17.34,0.0,19.671799612643476
DDO064,1.48,40.5,4.62,13.62,18.34,0.0,22.844255295369116
DDO064,1.68,44.2,4.89,16.26,19.12,0.0,25.09904380648793
DDO064,1.88,46.3,4.62,18.16,19.54,0.0,26.6757792763398
DDO064,2.08,46.4,4.62,19.64,19.1,0.0,27.395977806970134
DDO064,2.27,46.3,4.62,20.17,18.77,0.0,27.55252801468497
DDO064,2.37,46.4,6.73,20.59,18.61,0.0,27.75392224533318
DDO064,2.98,46.9,8.65,22.17,17.21,0.0,28.065868951450625
DDO154,0.49,13.8,1.6,3.74,12.31,0.0,12.865601423952167
DDO154,0.99,21.6,0.8,7.46,14.55,0.0,16.350966332299752
DDO154,1.48,28.9,0.7,10.87,12.95,0.0,16.907377088123397
DDO154,1.97,34.3,0.5,13.32,11.54,0.0,17.623677255328978
DDO154,2.47,38.2,0.4,14.77,10.18,0.0,17.938375065763342
DDO154,2.96,42.0,0.2,16.2,9.16,0.0,18.61036270468687
DDO154,3.46,44.6,0.2,17.6,8.37,0.0,19.48889170784219
DDO154,3.95,46.3,0.2,17.91,7.77,0.0,19.522832786253126
DDO154,4.44,47.4,0.3,17.48,7.29,0.0,18.93923176900267
DDO154,4.94,48.2,0.6,16.93,6.89,0.0,18.278320491773854
DDO154,5.43,47.4,0.7,16.28,6.55,0.0,17.548244926487662
DDO154,5.92,45.5,1.3,15.64,6.26,0.0,16.8462814888034
DDO161,0.6,16.0,3.53,6.82,12.59,0.0,14.318536936433135
DDO161,0.73,16.6,4.83,8.12,14.22,0.0,16.375066412079065
DDO161,0.85,18.6,2.5,9.3,15.27,0.0,17.879119105817267
DDO161,0.98,20.0,7.58,10.41,17.04,0.0,19.968217246414362
DDO161,1.07,21.4,4.03,11.27,18.03,0.0,21.26249750146958
DDO161,1.54,28.9,2.74,15.22,22.44,0.0,27.1146086086449
DDO161,2.02,32.9,2.65,18.74,24.92,0.0,31.18002565746218
DDO161,2.49,35.2,2.88,21.52,25.85,0.0,33.63529247680181
DDO161,2.96,37.6,3.05,23.28,26.01,0.0,34.90671138907245
DDO161,3.43,40.6,3.68,24.59,25.36,0.0,35.32418010371932
DDO161,3.9,42.7,3.25,25.62,25.01,0.0,35.80341464162322
DDO161,4.37,45.5,2.99,26.35,24.48,0.0,35.96655251758222
DDO161,4.86,48.9,1.96,27.08,23.7,0.0,35.986336295877635
DDO161,5.34,51.5,1.53,27.81,22.69,0.0,35.891951744088814
DDO161,5.81,53.0,1.86,28.4,21.59,0.0,35.67475437897225
DDO161,6.28,55.0,1.48,28.98,20.86,0.0,35.70686208559918
DDO161,6.75,57.6,0.99,29.57,20.11,0.0,35.760271251767655
DDO161,7.22,59.7,1.19,30.3,19.38,0.0,35.96768549684563
DDO161,7.69,60.5,1.26,31.18,18.7,0.0,36.35770069737634
DDO161,8.16,61.8,1.33,32.06,18.06,0.0,36.796836820574676
DDO161,8.64,62.9,1.35,32.64,17.47,0.0,37.021216889778216
DDO161,9.11,63.0,2.09,33.23,16.94,0.0,37.29874662773536
DDO161,9.58,64.5,2.38,33.38,16.44,0.0,37.20884303495609
DDO161,10.05,65.6,1.08,33.38,15.98,0.0,37.007901858927376
DDO161,10.52,67.5,3.22,32.79,15.57,0.0,36.29888428037424
DDO161,10.99,66.8,2.37,32.06,15.18,0.0,35.472186287287116
DDO161,11.46,66.8,0.95,31.18,14.81,0.0,34.518524012477705
DDO161,11.94,66.6,0.96,30.3,14.47,0.0,33.57783346197309
DDO161,12.41,66.8,0.99,29.42,14.16,0.0,32.650298620380184
DDO161,12.9,66.3,0.74,28.69,13.86,0.0,31.86244968611171
DDO161,13.37,66.1,1.31,27.81,13.59,0.0,30.952935240458213
DDO168,0.41,15.0,4.1,10.41,8.28,0.0,13.301372109673498
DDO168,0.82,23.4,1.3,18.08,12.66,0.0,22.071746645881923
DDO168,1.24,29.2,1.5,20.09,15.11,0.0,25.138022993067693
DDO168,1.64,36.2,1.1,20.2,15.99,0.0,25.762765767673315
DDO168,2.06,44.0,1.1,22.0,16.89,0.0,27.735754902291735
DDO168,2.47,52.1,1.2,22.63,17.03,0.0,28.32203735609428
DDO168,2.89,52.9,1.7,22.95,16.99,0.0,28.554554803043242
DDO168,3.3,54.8,2.2,22.74,17.19,0.0,28.506204587773517
DDO168,3.71,55.0,2.5,22.74,17.16,0.0,28.488123841348344
DDO168,4.12,52.0,2.7,22.74,16.37,0.0,28.01935937882949
DDO170,1.87,27.7,3.0,8.68,18.19,0.0,20.154862936770375
DDO170,3.36,42.4,1.5,15.07,19.75,0.0,24.84285410334328
DDO170,4.86,52.5,1.0,20.59,19.94,0.0,28.66272317837229
DDO170,6.35,55.6,1.0,24.61,19.17,0.0,31.195207965326983
DDO170,7.85,58.6,1.1,26.94,18.71,0.0,32.79981249946408
DDO170,9.34,59.0,1.2,27.6,17.41,0.0,32.63231680405178
DDO170,10.83,60.0,1.3,26.77,16.05,0.0,31.212744192076414
DDO170,12.33,62.2,1.0,24.9,15.01,0.0,29.074217100379503
ESO079-G014,0.41,33.2,11.6,2.21,28.95,0.0,29.034231520741166
ESO079-G014,0.98,50.4,11.8,4.41,47.6,0.0,47.803850263341765
ESO079-G014,1.78,53.9,9.75,6.75,62.09,0.0,62.455829191517424
ESO079-G014,2.69,67.6,5.1,8.55,75.48,0.0,75.96270729772604
ESO079-G014,3.36,81.7,5.06,9.18,82.21,0.0,82.7209556279423
ESO079-G014,4.39,102.0,5.35,9.29,86.87,0.0,87.36533065238179
ESO079-G014,5.65,116.0,6.44,9.5,92.23,0.0,92.71797506416974
ESO079-G014,6.34,132.0,9.1,10.22,96.19,0.0,96.73140389759676
ESO079-G014,6.89,137.0,5.25,11.87,100.53,0.0,101.22834484471234
ESO079-G014,8.34,154.0,4.2,17.23,113.81,0.0,115.10685904845114
ESO079-G014,10.04,163.0,3.28,24.23,128.72,0.0,130.9806523880531
ESO079-G014,11.65,170.0,2.41,30.75,133.41,0.0,136.90796397580382
ESO079-G014,13.36,175.0,2.18,36.2,132.99,0.0,137.8288072211321
ESO079-G014,15.06,177.0,2.23,39.42,128.51,0.0,134.42007476563907
ESO079-G014,16.67,178.0,2.03,40.49,124.23,0.0,130.66190339957552
ESO116-G012,0.25,20.9,3.4,-0.22,17.33,0.0,17.33139636613276
ESO116-G012,0.83,40.0,3.29,-1.8,34.96,0.0,35.00630800298712
ESO116-G012,1.38,51.5,2.96,-1.55,51.34,0.0,51.36339260601854
ESO116-G012,1.85,67.9,3.45,5.01,61.73,0.0,61.93297183245771
ESO116-G012,2.68,80.2,2.93,12.54,60.49,0.0,61.776141834854016
ESO116-G012,3.19,83.3,3.08,16.68,63.17,0.0,65.33506944972203
ESO116-G012,3.68,91.4,2.83,20.19,65.14,0.0,68.19718249312064
ESO116-G012,4.13,102.0,5.4,22.31,66.32,0.0,69.97198367918405
ESO116-G012,5.23,105.0,4.21,25.63,64.52,0.0,69.42425584765024
ESO116-G012,6.05,109.0,2.1,27.28,60.09,0.0,65.99247305564477
ESO116-G012,6.81,108.0,2.1,28.58,55.74,0.0,62.639955300111765
ESO116-G012,7.56,109.0,2.1,30.7,53.61,0.0,61.778006604292436
ESO116-G012,8.32,110.0,2.1,33.83,51.18,0.0,61.35031621760397
ESO116-G012,9.09,111.0,2.33,35.49,49.08,0.0,60.56720647347044
ESO116-G012,9.86,112.0,4.74,33.74,46.34,0.0,57.32175154337139
ESO444-G084,0.26,18.3,1.8,4.59,8.31,0.0,9.493376638478008
ESO444-G084,0.77,35.3,3.0,11.55,14.79,0.0,18.765569535721532
ESO444-G084,1.29,47.8,4.63,16.45,14.54,0.0,21.954819516452417
ESO444-G084,1.81,52.8,1.26,19.03,13.66,0.0,23.4251253998778
ESO444-G084,2.32,58.0,3.11,20.09,12.28,0.0,23.545838273461406
ESO444-G084,3.39,63.1,1.35,17.39,9.97,0.0,20.045273757172787
ESO444-G084,4.44,62.7,7.36,14.45,8.53,0.0,16.779851012449424
ESO563-G021,0.45,18.9,9.78,0.0,65.19,0.0,65.19
ESO563-G021,1.34,58.3,10.5,0.0,120.17,0.0,120.17
ESO563-G021,2.23,74.1,5.69,0.0,137.48,0.0,137.48
ESO563-G021,3.12,119.0,4.27,0.0,146.18,0.0,146.18
ESO563-G021,4.01,141.0,3.76,0.0,157.86,0.0,157.86
ESO563-G021,4.9,195.0,4.54,0.0,175.79,0.0,175.79
ESO563-G021,5.79,227.0,4.2,0.0,199.19,0.0,199.19
ESO563-G021,6.69,246.0,4.24,0.0,217.87,0.0,217.87
ESO563-G021,7.58,268.0,5.56,0.0,228.65,0.0,228.65
ESO563-G021,8.47,283.0,2.96,0.0,241.76,0.0,241.76
ESO563-G021,10.23,291.0,9.81,0.0,260.94,0.0,260.94
ESO563-G021,12.06,310.0,4.74,0.04,275.04,0.0,275.0400029086679
ESO563-G021,13.44,310.0,20.4,0.4,277.98,0.0,277.98028779033956
ESO563-G021,15.18,310.0,16.1,3.11,282.25,0.0,282.2671334038024
ESO563-G021,16.83,314.0,13.5,15.18,283.33,0.0,283.7363587910439
ESO563-G021,18.56,317.0,12.7,22.91,276.47,0.0,277.4176075882712
ESO563-G021,20.3,319.0,10.4,33.06,272.19,0.0,274.1903712751416
ESO563-G021,21.94,318.0,10.8,33.62,273.0,0.0,275.0623645648383
ESO563-G021,23.68,317.0,9.3,39.67,271.34,0.0,274.2245512349323
ESO563-G021,25.41,317.0,7.23,44.98,261.62,0.0,265.4585180400132
ESO563-G021,27.06,312.0,8.39,46.29,252.97,0.0,257.17034238029856
ESO563-G021,28.8,312.0,8.37,43.21,243.84,0.0,247.63895028851982
ESO563-G021,30.53,311.0,11.5,45.08,233.85,0.0,238.15547211853016
ESO563-G021,32.18,310.0,14.5,52.43,224.75,0.0,230.78446091537447
ESO563-G021,33.91,313.0,15.9,59.7,216.21,0.0,224.30081163473304
ESO563-G021,35.65,320.0,8.83,61.56,208.83,0.0,217.71449767987434
ESO563-G021,37.3,321.0,7.88,63.33,202.65,0.0,212.31512287164097
ESO563-G021,39.03,320.0,8.0,62.96,196.77,0.0,206.59717931278735
ESO563-G021,40.76,315.0,9.82,62.4,191.39,0.0,201.30546962266078
ESO563-G021,42.41,312.0,9.07,62.21,186.89,0.0,196.97196805637088
F561-1,1.61,23.4,10.0,5.21,28.61,0.0,29.080512375128468
F561-1,3.23,40.6,5.0,10.57,37.58,0.0,39.03820308364615
F561-1,4.84,45.5,5.0,15.71,39.1,0.0,42.138036261790845
F561-1,6.45,49.2,5.0,20.94,44.01,0.0,48.7377030644654
F561-1,8.06,50.4,5.0,25.97,48.52,0.0,55.03300191703157
F561-1,9.66,50.4,5.0,29.26,49.44,0.0,57.449640555881636
F563-1,1.07,22.1,7.17,1.98,18.3,0.0,18.40680309016207
F563-1,1.78,42.7,10.66,4.03,24.51,0.0,24.83910223820499
F563-1,2.49,60.6,7.69,6.25,27.45,0.0,28.152530969701463
F563-1,2.97,76.8,11.1,7.78,28.28,0.0,29.33064608903118
F563-1,3.04,81.6,17.5,8.01,28.2,0.0,29.315526602808962
F563-1,3.19,87.0,8.93,8.49,28.16,0.0,29.411999252005973
F563-1,6.95,90.0,24.8,17.83,29.57,0.0,34.52960758537519
F563-1,8.58,97.8,9.4,22.83,29.09,0.0,36.978872346246575
F563-1,9.26,93.7,25.3,24.91,28.73,0.0,38.02526791490101
F563-1,9.89,103.0,23.8,26.69,28.7,0.0,39.19242401281146
F563-1,10.08,97.4,11.0,27.31,28.73,0.0,39.63898333711398
F563-1,11.84,106.5,9.48,30.86,27.77,0.0,41.515208056807325
F563-1,14.56,112.0,11.0,30.44,25.73,0.0,39.8575776986008
F563-1,15.43,111.5,9.4,30.7,25.11,0.0,39.661090504422596
F563-1,17.93,111.0,24.3,33.36,23.48,0.0,40.794607486774524
F563-1,19.02,112.5,7.75,34.35,22.95,0.0,41.311318061761234
F563-1,20.1,106.0,10.7,35.34,22.07,0.0,41.6653393121909
F563-V1,1.31,12.0,5.0,4.66,11.06,0.0,12.001633222191055
F563-V1,2.63,21.7,5.0,9.66,16.85,0.0,19.422618258103103
F563-V1,3.93,28.6,5.0,13.79,23.41,0.0,27.16969267400719
F563-V1,5.24,29.5,5.0,16.46,24.18,0.0,29.250709393107034
F563-V1,6.55,28.6,5.0,18.52,23.59,0.0,29.991307073883924
F563-V1,7.87,27.3,5.0,20.17,23.33,0.0,30.840197794437053
F563-V2,0.28,11.9,7.89,0.95,6.22,0.0,6.2921300050142
F563-V2,0.87,34.8,7.89,2.93,17.64,0.0,17.881680569789854
F563-V2,1.46,58.5,8.68,4.98,27.33,0.0,27.78001619869938
F563-V2,2.05,81.5,14.2,7.2,35.16,0.0,35.88963081448456
F563-V2,2.35,91.8,17.5,8.24,37.71,0.0,38.599762952640006
F563-V2,4.76,114.0,8.68,16.62,45.06,0.0,48.02736719829643
F563-V2,7.86,116.0,8.68,34.33,41.16,0.0,53.59752326367329
F563-V2,8.7,117.0,16.6,39.57,40.09,0.0,56.32932628746771
F563-V2,10.18,118.0,51.9,39.57,38.11,0.0,54.93775568768714
F563-V2,10.47,118.0,40.3,39.57,37.78,0.0,54.70935294810203
F565-V2,1.26,21.7,10.0,5.7,11.4,0.0,12.745587471748802
F565-V2,2.51,40.3,10.0,10.7,17.23,0.0,20.2820832263355
F565-V2,3.78,57.7,7.0,14.75,19.15,0.0,24.17198791990431
F565-V2,5.03,68.5,7.0,18.18,18.51,0.0,25.94479716629136
F565-V2,6.29,73.5,7.0,21.5,20.41,0.0,29.644866334662396
F565-V2,7.54,78.5,5.0,24.72,20.52,0.0,32.127072695781045
F565-V2,8.8,83.1,6.0,27.11,18.68,0.0,32.922553060174415
F567-2,1.92,26.9,8.0,-8.25,24.52,0.0,25.87069577726892
F567-2,3.83,46.8,5.0,-11.91,32.41,0.0,34.52906312079724
F567-2,5.75,47.6,5.0,-2.02,32.86,0.0,32.922029099069825
F567-2,7.67,48.1,8.0,17.45,32.97,0.0,37.30312855512256
F567-2,9.59,52.2,10.0,24.22,33.05,0.0,40.974515250335784
F568-1,0.44,15.7,9.1,-2.08,12.26,0.0,12.435191996909417
F568-1,1.32,44.5,9.1,-5.39,28.49,0.0,28.995382390994603
F568-1,2.2,69.4,9.1,-6.26,35.84,0.0,36.38259473979282
F568-1,3.08,90.0,11.4,-3.53,40.15,0.0,40.30488059776384
F568-1,3.96,105.0,9.88,1.83,41.23,0.0,41.270592435776834
F568-1,4.84,113.0,16.2,8.4,42.44,0.0,43.26330546779799
F568-1,5.53,117.0,24.8,13.64,43.19,0.0,45.29266717692832
F568-1,7.48,124.0,9.1,27.27,47.2,0.0,54.511401559673736
F568-1,8.37,127.0,9.1,32.13,48.6,0.0,58.26059474464709
F568-1,9.24,130.0,9.1,36.26,48.96,0.0,60.92511140736634
F568-1,10.13,133.0,9.1,39.77,48.92,0.0,63.04616800409046
F568-1,13.23,142.0,23.8,47.41,49.96,0.0,68.87459400969271
F568-3,0.64,12.4,8.6,1.18,13.56,0.0,13.611245350811954
F568-3,1.18,21.9,6.2,1.55,21.17,0.0,21.226667190117247
F568-3,1.8,32.3,1.88,1.6,27.72,0.0,27.76613765002255
F568-3,2.03,37.9,6.2,1.54,29.76,0.0,29.79981879139536
F568-3,2.78,53.1,9.5,1.46,36.4,0.0,36.42926845271532
F568-3,3.0,62.4,11.0,1.62,38.08,0.0,38.11444345651658
F568-3,3.64,68.0,6.2,2.96,42.4,0.0,42.50319517401015
F568-3,4.19,78.0,7.98,5.28,45.43,0.0,45.735798888835426
F568-3,4.6,82.3,6.2,6.86,46.43,0.0,46.93404414707942
F568-3,5.14,85.7,6.3,8.92,47.19,0.0,48.025644191410905
F568-3,5.39,85.5,6.51,9.95,47.91,0.0,48.93230630166536
F568-3,6.31,89.5,15.6,14.48,50.48,0.0,52.515719551387654
F568-3,9.1,95.2,15.5,26.69,51.31,0.0,57.83659913929933
F568-3,10.17,97.5,6.2,29.9,52.01,0.0,59.992083644427616
F568-3,11.99,101.0,10.2,33.72,51.6,0.0,61.64088253748481
F568-3,14.02,107.0,10.7,36.41,50.13,0.0,61.95728367189769
F568-3,15.94,117.0,11.7,38.69,49.27,0.0,62.64542281763289
F568-3,17.98,120.0,12.0,39.0,48.97,0.0,62.60240330849927
F568-V1,0.39,17.4,30.4,-1.11,12.25,0.0,12.30018699044856
F568-V1,1.18,46.3,37.1,-2.76,28.99,0.0,29.12108686158537
F568-V1,1.95,69.1,13.1,-2.63,34.78,0.0,34.879296151155344
F568-V1,2.74,85.2,6.2,-0.03,37.08,0.0,37.08001213592034
F568-V1,3.53,93.2,6.2,3.84,41.2,0.0,41.37856449902534
F568-V1,4.3,100.0,12.4,7.34,44.37,0.0,44.97301968958722
F568-V1,5.09,108.0,6.2,9.92,45.35,0.0,46.422288827674144
F568-V1,5.87,112.0,6.2,12.15,44.94,0.0,46.55347570267981
F568-V1,6.4,113.0,24.9,13.65,45.12,0.0,47.139547091587545
F568-V1,7.44,113.0,15.5,17.06,45.76,0.0,48.83667883875806
F568-V1,8.21,112.0,13.1,19.87,46.01,0.0,50.11723256525644
F568-V1,9.0,111.0,26.4,22.99,44.52,0.0,50.10559350012731
F568-V1,9.72,111.0,19.4,26.1,43.69,0.0,50.89229902450861
F568-V1,11.79,113.0,12.5,34.23,40.77,0.0,53.23425400998872
F568-V1,17.63,118.0,14.6,36.03,33.12,0.0,48.939710869599544
F571-8,0.22,12.4,7.0,0.92,38.29,0.0,38.3010508994205
F571-8,0.78,37.5,4.0,2.67,85.69,0.0,85.73158694436958
F571-8,1.33,56.5,4.0,3.9,104.0,0.0,104.07309931005226
F571-8,2.33,69.1,4.0,5.34,114.45,0.0,114.57450894505287
F571-8,3.44,85.5,7.5,7.09,107.32,0.0,107.55394228014146
F571-8,3.78,87.1,8.4,7.29,103.7,0.0,103.95592383313227
F571-8,4.77,105.0,4.0,8.42,92.03,0.0,92.41437821031963
F571-8,5.44,112.0,6.7,8.94,86.43,0.0,86.89113015722607
F571-8,6.11,116.0,4.0,9.45,81.42,0.0,81.96657184486857
F571-8,7.22,124.0,4.0,10.47,76.23,0.0,76.94565484808093
F571-8,9.33,135.0,4.0,11.28,68.45,0.0,69.3732001568329
F571-8,11.1,140.0,4.0,11.8,64.24,0.0,65.31475790355499
F571-8,15.55,144.0,5.0,11.28,55.43,0.0,56.566096736472815
F571-V1,1.95,32.0,10.0,7.85,23.82,0.0,25.080169457162764
F571-V1,3.88,57.6,10.0,15.1,35.57,0.0,38.64239769993575
F571-V1,5.83,70.9,7.0,20.84,33.21,0.0,39.20726590824716
F571-V1,7.78,77.0,6.0,25.68,32.58,0.0,41.48395834536526
F571-V1,9.72,82.5,6.0,29.5,31.97,0.0,43.500929875118764
F571-V1,11.66,84.3,6.0,30.81,29.08,0.0,42.36628966525154
F571-V1,13.59,83.9,6.0,28.8,26.58,0.0,39.191024482654186
F574-1,0.47,15.3,4.4,0.25,12.99,0.0,12.992405473968244
F574-1,1.41,41.0,4.36,0.88,32.88,0.0,32.891774047624736
F574-1,2.35,60.7,4.4,1.88,41.13,0.0,41.172943785937875
F574-1,3.29,74.9,4.4,3.41,42.43,0.0,42.566806316659466
F574-1,4.22,83.0,6.28,5.43,44.37,0.0,44.701026833843535
F574-1,5.17,86.8,4.4,7.8,46.69,0.0,47.33704785894448
F574-1,6.11,89.4,4.4,10.44,48.85,0.0,49.95313904050475
F574-1,7.05,92.5,4.4,13.15,49.34,0.0,51.06229626642343
F574-1,7.99,94.7,4.4,16.07,50.15,0.0,52.661821085108706
F574-1,8.92,96.3,4.4,18.98,49.17,0.0,52.706065115885856
F574-1,9.87,97.8,4.4,21.99,49.76,0.0,54.40236851461524
F574-1,10.79,98.8,4.62,25.0,50.33,0.0,56.197054193258204
F574-1,11.8,99.5,4.4,27.82,50.68,0.0,57.813621232370494
F574-1,12.6,99.7,5.14,30.02,50.19,0.0,58.48278806623364
F574-2,2.17,12.6,10.0,-8.64,21.61,0.0,23.27319703006014
F574-2,4.32,23.0,10.0,-7.74,27.24,0.0,28.318283846306787
F574-2,6.49,30.0,8.0,15.6,34.0,0.0,37.4080205303622
F574-2,8.65,36.0,8.0,23.65,34.44,0.0,41.77841667655681
F574-2,10.83,40.0,8.0,28.17,36.32,0.0,45.96402179966414
F579-V1,0.42,35.7,9.1,-1.7,15.39,0.0,15.483607460795433
F579-V1,1.47,83.3,9.3,-4.3,40.7,0.0,40.92651951974417
F579-V1,2.11,94.2,10.4,-3.8,48.7,0.0,48.84802964296513
F579-V1,2.84,97.6,9.1,-0.8,53.6,0.0,53.605969816803054
F579-V1,3.9,101.0,9.1,5.9,57.61,0.0,57.91132963419162
F579-V1,4.74,105.0,16.7,10.47,63.1,0.0,63.96273055459718
F579-V1,5.69,106.0,9.1,13.24,67.96,0.0,69.23770071283418
F579-V1,6.32,108.0,11.5,14.88,69.85,0.0,71.41734313176316
F579-V1,7.37,110.0,23.0,17.96,72.36,0.0,74.55555780758401
F579-V1,8.21,112.0,19.7,20.83,72.55,0.0,75.48106650014955
F579-V1,9.16,113.0,9.1,23.19,73.73,0.0,77.29093737301936
F579-V1,10.85,114.0,9.1,26.37,73.37,0.0,77.96495238246479
F579-V1,12.21,114.0,9.1,28.32,69.96,0.0,75.47465799856266
F579-V1,15.16,114.0,11.2,33.04,63.57,0.0,71.64346795067922
F583-1,0.26,14.6,13.0,-0.5,5.06,0.0,5.084643546995206
F583-1,0.44,10.0,7.0,-0.86,8.17,0.0,8.215138465053403
F583-1,0.77,10.7,7.13,-1.55,13.14,0.0,13.23110350651071
F583-1,0.89,17.4,9.6,-1.78,14.55,0.0,14.658475364102502
F583-1,1.22,23.5,11.2,-2.43,17.29,0.0,17.45992554394205
F583-1,1.55,31.0,5.2,-2.98,18.37,0.0,18.61013970930901
F583-1,1.8,32.3,2.41,-3.18,18.25,0.0,18.524980431838518
F583-1,2.21,40.9,5.9,-3.53,19.06,0.0,19.384130106868348
F583-1,2.31,43.8,4.26,-3.66,19.39,0.0,19.732402286594503
F583-1,2.54,44.8,4.5,-4.08,20.16,0.0,20.568714106623194
F583-1,3.1,51.7,12.7,-5.16,22.16,0.0,22.752828395608315
F583-1,3.43,55.7,4.5,-4.94,23.71,0.0,24.21915977072698
F583-1,3.86,59.4,9.85,-3.07,24.94,0.0,25.128241084485005
F583-1,4.09,62.0,4.5,1.31,25.34,0.0,25.37383888969109
F583-1,4.37,63.0,3.2,4.42,25.74,0.0,26.11673792800318
F583-1,4.76,66.6,6.9,7.13,26.09,0.0,27.046718839814933
F583-1,5.4,71.3,2.95,11.25,26.17,0.0,28.48563497624724
F583-1,5.86,72.3,15.5,13.88,25.92,0.0,29.402394460315644
F583-1,6.08,73.4,6.0,14.94,25.73,0.0,29.75292422603197
F583-1,6.43,72.4,5.81,16.72,25.39,0.0,30.400830580758807
F583-1,6.97,77.1,12.1,19.67,24.74,0.0,31.606589502823617
F583-1,7.96,80.3,13.5,24.09,23.76,0.0,33.83586410895989
F583-1,10.29,84.7,6.0,31.66,22.09,0.0,38.60471085243354
F583-1,15.49,86.9,5.6,39.34,17.78,0.0,43.17133308110835
F583-1,16.26,85.8,8.6,39.55,17.09,0.0,43.08445891501946
F583-4,0.22,10.7,4.9,0.47,5.59,0.0,5.6097237008608545
F583-4,0.76,24.7,4.9,1.87,17.63,0.0,17.728897314836022
F583-4,1.31,38.9,4.9,3.27,26.64,0.0,26.83994225031045
F583-4,1.94,42.7,7.89,4.87,32.27,0.0,32.63540715235525
F583-4,3.92,55.0,4.9,8.5,38.26,0.0,39.19282587413161
F583-4,4.35,57.2,4.9,9.17,38.43,0.0,39.508907856330325
F583-4,5.0,59.8,4.9,10.3,39.09,0.0,40.42422664690074
F583-4,5.05,62.5,3.43,10.4,39.06,0.0,40.42083126309997
F583-4,5.83,61.8,3.98,12.1,38.38,0.0,40.24219675912338
F583-4,6.09,64.4,4.9,12.72,38.13,0.0,40.195712457922674
F583-4,6.74,67.2,4.9,14.18,39.23,0.0,41.714089945724574
F583-4,7.29,69.9,4.9,15.33,36.96,0.0,40.0131290953357
IC2574,0.85,10.3,0.2,0.0,9.59,0.0,9.59
IC2574,1.14,12.9,2.7,0.0,11.99,0.0,11.99
IC2574,1.42,16.4,1.8,0.94,13.83,0.0,13.861908238045727
IC2574,1.71,18.6,2.1,3.44,15.27,0.0,15.652683476005
IC2574,1.99,19.8,2.0,5.14,16.76,0.0,17.53046491111973
IC2574,2.28,26.1,0.6,5.82,17.77,0.0,18.698804774637335
IC2574,2.55,27.7,2.7,6.87,18.7,0.0,19.922020479860972
